,Company Name,Company Code
224,"CHONGQING ROAD & BRIDGE CO.,LTD",600106
225,"GANSU YASHENG INDUSTRIAL（GROUP）CO.,LTD",600108
226,"SINOLINK SECURITIES CO., LTD.",600109
227,"NUODE INVESTMENT CO.,LTD",600110
228,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",600111
229,"ZHE JIANG DONG RI CO., LTD",600113
230,"NBTM NEW MATERIALS GROUP Co., Ltd.",600114
231,China Eastern Airlines Corporation Limited,600115
232,"Chongqing Three Gorges Water Conservancy And Electric Power Co.,Ltd.",600116
233,"XINING SPECIAL STEEL CO.,LTD",600117
234,"China Spacesat Co.,Ltd.",600118
235,"Y.U.D Yangtze River Investment Industry Co.,Ltd.",600119
236,"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120
237,"ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD.",600121
238,"Shanxi Lanhua Sci-tech Venture Co.,Ltd",600123
239,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD",600125
240,"HangZhou Iron And Steel Co.,Ltd.",600126
241,"JINJIAN CEREALS INDUSTRY CO.,LTD.",600127
242,SOHO HOLLY CORPORATION,600128
243,"CHONGQING TAIJI INDUSTRY(GROUP) CO.,LTD",600129
244,"STATE GRID INFORMATION&COMMUNICATION CO.,LTD.",600131
245,Chongqing Brewery Company Limited,600132
246,"WUHAN EAST LAKE HIGH TECHNOLOGY GROUPE CO.,LTD.",600133
247,LUCKY FILM COMPANY LIMITED,600135
248,Sichuan Langsha　holding　CO.LTD,600137
249,"CHINA CYTS TOURS HOLDING CO.,LTD.",600138
250,"HUBEI XINGFA CHEMICALS GROUP CO.,LTD.",600141
251,"KINGFA SCI.&TECH. CO.,LTD.",600143
252,Changchun Yidong Clutch CO.LTD.,600148
253,"Langfang Development Co., Ltd.",600149
254,China CSSC Holdings Limited,600150
255,"SHANGHAI AEROSPACE AUTOMOBILE ELECTROMECHANICAL CO.,LTD",600151
256,"VEKEN TECHNOLOGY.,LTD.",600152
257,XIAMEN C&D INC.,600153
258,"Polaris Bay Group Co.,Ltd.",600155
259,"Hunan Huasheng  Co.,Ltd",600156
260,"WINTIME ENERGY GROUP CO.,LTD.",600157
261,CHINA SPORTS INDUSTRY GROUP CO.，LTD.,600158
262,"BEIJING  DALONG  WEIYE REAL ESTATE DEVELOPMENT  CO.,LTD",600159
263,"ZHEJIANG JUHUA CO.,LTD.",600160
264,Beijing Tiantan Biological Products Corporation Limited,600161
265,"Shenzhen Heungkong Holding Co., Ltd",600162
266,"ZHONGMIN  ENERGY  CO.,  LTD.",600163
267,"BEIQI FOTON MOTOR CO.,LTD.",600166
268,"Luenmei Quantum Co.,Ltd",600167
269,"WUHAN SANZHEN INDUSTRY HOLDING CO.,LTD",600168
270,"SHANGHAI CONSTRUCTION GROUP CO., LTD",600170
271,"SHANGHAI BELLING CO.,LTD.",600171
272,"HENAN HUANGHE WHIRLWIND CO.,LTD.",600172
273,"Wolong New Energy Group Co., Ltd.",600173
274,"China Jushi Co.,Ltd.",600176
275,"Youngor Fashion Co.,Ltd.",600177
276,"HARBIN DONGAN AUTO ENGINE CO.,LTD.",600178
277,"Antong Holdings Co., Ltd.",600179
278,"CCS Supply Chain Management Co., Ltd.",600180
279,GITI TIRE CORPORATION,600182
280,"SHENGYI TECHNOLOGY CO., LTD.",600183
281,"North Electro-Optic Co.,Ltd.",600184
282,"ZHUHAI ZHUMIAN GROUP Co., Ltd",600185
283,"Lotus Holdings Co.,Ltd.",600186
284,"HEILONGJIANG INTERCHINA WATER TREATMENT CO.,LTD.",600187
285,Yankuang Energy Group Company Limited,600188
286,"JILIN QUANYANGQUAN Co.,Ltd",600189
287,"BAOTOU HUAZI INDUSTRY CO.,LTD.",600191
288,"LANZHOU GREATWALL ELECTRICAL CO.,LTD.",600192
289,"China Animal Husbandry Industry Co.,Ltd.",600195
290,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",600196
291,"Xinjiang Yilite Industry Co.,LTD.",600197
292,"DATANG TELECOM TECHNOLOGY CO., LTD.",600198
293,"Anhui Golden Seed Winery Co.,Ltd.",600199
294,JINYU BIO-TECHNOLOGY CO.，LTD.,600201
295,"Harbin Air Conditioning Co.,Ltd.",600202
296,"FUJIAN FURI ELECTRONICS CO.,LTD.",600203
297,"GRINM Advanced Materials Co.,Ltd.",600206
298,"HENAN ANCAI HI-TECH CO.,LTD.",600207
299,"Quzhou Xin'an Development Co.,Ltd.",600208
300,"SHANGHAI ZIJIANG ENTERPRISE GROUP CO.,LTD",600210
301,TIBET RHODIOLA PHARMACEUTICAL HOLDING CO.,600211
302,"GRESGYING DIGITAL ENERGY TECHNOLOGY CO.,LTD",600212
303,"Paslin digital technology co., ltd.",600215
304,"ZHEJIANG MEDICINE CO.,LTD",600216
305,"China Resources and Environment Co.,ltd.",600217
306,"ANHUI QUANCHAI ENGINE CO.,LTD.",600218
307,"SHANDONG NANSHAN ALUMINIUM CO., LTD",600219
308,Hainan Airlines Holding Company Limited,600221
309,"HENAN TALOPH PHARMACEUTICAL STOCK CO.,LTD",600222
310,"Lushang Freda Pharmaceutical Co., Ltd.",600223
311,"Zhejiang Hengtong Holding Co.,Ltd.",600226
312,"GUIZHOU CHITIANHUA CO.,LTD.",600227
313,"Qingdao Citymedia Co,. Ltd.",600229
314,CANGZHOU DAHUA CO.LTD,600230
315,"Lingyuan Iron & Steel Co.,Ltd.",600231
316,"Zhejiang Golden Eagle Co.,Ltd.",600232
317,"YTO Express Group Co.,Ltd.",600233
318,"Kexin Development Co.,Ltd,Shanxi",600234
319,"MINFENG SPECIAL PAPER CO.,LTD.",600235
320,"Guangxi Guiguan Electric Power Co.,Ltd.",600236
321,ANHUI TONGFENG ELECTRONICS COMPANY LIMITED,600237
322,"YunNan  Metropolitan Real Estate Development Co.,LTD",600239
323,"LIAONING SHIDAI_WANHENG CO.,LTD.",600241
324,"Vantone Neo Development Group Co., Ltd",600246
325,Shaanxi Construction Engineering Group Corporation Limited,600248
326,"LIUZHOU LIANGMIANZHEN Co., Ltd.",600249
327,"NANJING BUSINESS & TOURISM CORP.,LTD.",600250
328,"XINJIANG GUANNONG CO.,LTD.",600251
329,"Guangxi Wuzhou Zhongheng Group CO.,LTD.",600252
330,ANHUI XINKE NEW MATERIALS CO.，LTD.,600255
331,"GUANGHUI ENERGY CO.,LTD.",600256
332,"DAHU HEALTH INDUSTRY CO.,LTD.",600257
333,BTG HOTELS（GROUP）CO.，LTD,600258
334,"China Rare Earth NonferrousMetals Co.,Ltd.",600259
335,"ZHEJIANG YANKON GROUP CO.,LTD.",600261
336,"Inner Mongolia North Hauler Joint Stock Co.,Ltd.",600262
337,"BEIJING URBAN CONSTRUCTION INVESTMENT& DEVELOPMENT CO.,LTD.",600266
338,"ZHEJIANG HISUN PHARMACEUTICAL CO.,LTD",600267
339,"Guodian Nanjing Automation Co.,LTD.",600268
340,"Jiangxi Ganyue Expressway CO.,LTD.",600269
341,Aisino Corporation,600271
342,"SHANGHAI KAI KAI INDUSTRIAL CO.,LTD.",600272
343,"Zhejiang Jiahua energy chemical industry Co.,Ltd.",600273
344,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd.",600276
345,Orient International Enterprise LTD.,600278
346,"Chongqing Port Co.,Ltd.",600279
347,"NANJING CENTRAL EMPORIUM STOCKS CO., LTD.",600280
348,"SHAN XI HUA YANG NEW MATERIALS CO.,LTD.",600281
349,"Nanjing Iron&Steel Co.,Ltd.",600282
350,"Qianjiang Water Resources Development Co.,Ltd",600283
351,"Shanghai Pudong Construction Co.,Ltd.",600284
352,"Henan Lingrui Pharmaceutical Co., Ltd",600285
353,"SOHO FASHION GROUP CO.,LTD.",600287
354,"Daheng New Epoch Technology,Inc.",600288
355,"SPIC YUANDA ENVIRONMENTAL—PROTECTION CO. ,LTD .",600292
356,"HUBEI SANXIA NEW BUILDING MATERIALS CO.,LTD",600293
357,"Inner Mongolia ERDOS Resources Co.,Ltd.",600295
358,"ANGEL YEAST CO.,LTD",600298
359,Bluestar Adisseo Company,600299
360,"v v Food & Beverage Co.,Ltd",600300
361,"Guangxi Huaxi Nonferrous Metal Co.,Ltd",600301
362,"XI'AN TYPICAL INDUSTRIES CO., LTD",600302
363,"LIAONING SG AUTOMOTIVE GROUP CO., LTD.",600303
364,"JIANGSHU  HENGSHUN  VINEGAR  CO.,LTD",600305
365,"GanSu Jiu Steel Group Hong Xing Iron & Steel Co,Ltd",600307
366,"SHANDONG HUATAI PAPER INDUSTRY SHAREHOLDING CO.,LTD",600308
367,"Wanhua Chemical Group Co.,Ltd.",600309
368,Guangxi Energy Co.，Ltd.,600310
369,"Henan Pinggao Electric Co.,Ltd.",600312
370,"ZHONGNONGFA  SEED  INDUSTRY  GROUP  CO., LTD.",600313
371,"SHANGHAI JAHWA UNITED CO., LTD",600315
372,"JIANGXI HONGDU AVIATION INDUSTRY CO., LTD.",600316
373,"ANHUI XINLI FINANCE CO.,LTD.",600318
374,"WEIFANG YAXING CHEMICAL CO.,LTD.",600319
375,"SHANGHAI ZHENHUA HEAVY INDUSTRIES CO.,LTD.",600320
376,"Tianjin Jintou State-owned Urban Development Co., Ltd.",600322
377,Grandblue environment company limited,600323
378,"Zhuhai Huafa Properties Co.,LTD.",600325
379,"XIZANGTIANLUCO., LTD.",600326
380,"WUXI COMMERCIAL MANSION GRAND ORIENT CO.,LTD",600327
